Date,Latest,Survey,SurveyHigh,SurveyLow
30/06/2023,209,230,350,110
31/05/2023,306,195,250,100
30/04/2023,217,185,270,125
31/03/2023,217,230,300,-10
28/02/2023,248,225,325,80
31/01/2023,472,189,320,130
31/12/2022,239,205,350,70
30/11/2022,290,200,270,60
31/10/2022,324,193,300,80
30/09/2022,350,255,389,199
31/08/2022,352,298,452,75
31/07/2022,568,250,325,50
30/06/2022,370,265,415,90
31/05/2022,364,318,450,220
30/04/2022,254,380,517,250
31/03/2022,414,490,700,0
28/02/2022,904,423,730,80
31/01/2022,364,125,250,-400
31/12/2021,569,450,850,150
30/11/2021,614,550,800,375
31/10/2021,781,450,700,250
30/09/2021,557,500,750,0
31/08/2021,663,733,1000,400
31/07/2021,769,870,1200,350
30/06/2021,693,720,1050,400
31/05/2021,482,675,1000,335
30/04/2021,286,1000,2100,700
31/03/2021,784,660,1000,350
28/02/2021,575,200,500,-35
31/01/2021,494,105,400,-250
31/12/2020,-268,50,300,-400
30/11/2020,264,460,750,-100
31/10/2020,719,580,1600,250
30/09/2020,961,859,1800,-100
31/08/2020,1735,1350,2400,-100
31/07/2020,1444,1480,3210,-600
30/06/2020,4565,3230,9000,500
31/05/2020,2625,-7500,-800,-12000
30/04/2020,-20514,-22000,-8600,-30000
31/03/2020,-1427,-100,100,-4000
29/02/2020,273,175,249,132
31/01/2020,334,165,220,70
31/12/2019,102,160,221,54
30/11/2019,215,180,237,70
31/10/2019,129,85,140,25
30/09/2019,207,145,185,85
31/08/2019,232,160,232,110
31/07/2019,82,165,224,74
30/06/2019,167,160,220,100
31/05/2019,67,175,228,80
30/04/2019,243,190,250,120
31/03/2019,228,177,277,110
28/02/2019,-22,180,250,85
31/01/2019,309,165,230,-40
31/12/2018,183,184,225,160
30/11/2018,96,198,240,160
31/10/2018,165,200,300,90
30/09/2018,89,185,245,125
31/08/2018,250,190,237,159
31/07/2018,56,193,257,161
30/06/2018,211,195,242,135
31/05/2018,329,190,250,150
30/04/2018,145,193,255,145
31/03/2018,223,185,255,100
28/02/2018,388,205,300,160
31/01/2018,149,180,245,140
31/12/2017,144,190,240,132
30/11/2017,230,195,260,150
31/10/2017,148,313,400,120
30/09/2017,92,80,153,-45
31/08/2017,135,180,226,135
31/07/2017,184,180,220,125
30/06/2017,199,178,220,115
31/05/2017,217,182,245,130
30/04/2017,197,190,281,145
31/03/2017,130,180,267,100
28/02/2017,206,200,275,150
31/01/2017,231,180,238,140
31/12/2016,219,175,221,125
30/11/2016,120,180,250,140
31/10/2016,108,173,208,105
30/09/2016,297,172,220,125
31/08/2016,149,180,255,92
31/07/2016,363,180,240,140
30/06/2016,251,180,243,50
31/05/2016,45,160,215,90
30/04/2016,190,200,315,160
31/03/2016,256,205,250,100
29/02/2016,212,195,245,70
31/01/2016,115,190,260,142
31/12/2015,273,200,250,135
30/11/2015,225,200,275,130
31/10/2015,320,185,250,75
30/09/2015,135,200,256,75
31/08/2015,141,217,253,130
31/07/2015,294,225,310,140
30/06/2015,155,233,350,160
31/05/2015,338,226,305,140
30/04/2015,278,228,327,175
31/03/2015,95,245,300,179
28/02/2015,267,235,370,150
31/01/2015,196,228,286,180
31/12/2014,277,240,305,160
30/11/2014,284,230,306,140
31/10/2014,242,235,314,140
30/09/2014,305,215,265,155
31/08/2014,182,230,310,140.
31/07/2014,243,230,310,160
30/06/2014,332,215,290,145
31/05/2014,203,215,350,110
30/04/2014,312,218,292,155
31/03/2014,279,200,275,150
28/02/2014,155,149,220,100
31/01/2014,184,180,270,105
31/12/2013,54,197,250,100
30/11/2013,275,185,230,115
31/10/2013,220,120,175,50
30/09/2013,184,180,256,100
31/08/2013,244,180,220,79
31/07/2013,122,185,225,23
30/06/2013,178,166,220,77
31/05/2013,215,163,290,80
30/04/2013,187,140,238,100
31/03/2013,145,190,366,100
28/02/2013,279,165,260,121
31/01/2013,190,165,230,115
31/12/2012,241,152,305,80
30/11/2012,163,85,145,15
31/10/2012,159,125,154,30
30/09/2012,182,115,165,60
31/08/2012,177,130,185,70
31/07/2012,146,100,165,50
30/06/2012,72,100,165,35
31/05/2012,108,150,195,75
30/04/2012,83,160,210,89
31/03/2012,226,205,250,175
29/02/2012,272,210,275,125
31/01/2012,345,140,225,95
31/12/2011,200,155,220,80
30/11/2011,144,125,175,75
31/10/2011,212,95,150,50
30/09/2011,221,60,115,-50
31/08/2011,133,68,160,-20
31/07/2011,55,85,150,0
30/06/2011,232,105,175,60
31/05/2011,100,165,250,65
30/04/2011,327,185,325,118
31/03/2011,225,190,295,150
28/02/2011,210,196,297,100
31/01/2011,7,146,230,-5
31/12/2010,81,150,240,98